SampleID,Run,Anatidae,Batrachoseps attenuatus,Bos taurus,Brevoortia,Buteo,Cairina moschata,Canis,Cervus elaphus,Colaptes auratus,Columbidae,Corvus,Didelphis virginiana,Felidae,Felis catus,Gallus gallus,Homo sapiens,Junco hyemalis,Mephitis mephitis,Micropterus,Microtus californicus,Mus musculus,Neotamias,Neurotrichus gibbsii,Odocoileus,Oreochrimini,Oreortyx pictus,Ovis aries,Passer domesticus,Passeriformes,Peromyscus,Procyon lotor,Puma concolor,Rattus norvegicus,Rattus rattus,Salmo salar,Scombridae,Sorex,Spilogale gracilis,Sus scrofa,Sylvilagus bachmani,Thomomys bottae,Trochilidae,Turdus migratorius,Tyto alba,Urocyon cinereoargenteus,Ursus americanus,Zalophus californianus
S20_3700,MiniExp,0,0,0,0,0,0,2339,0,0,0,0,0,23,0,52,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,39,0
S20_3701,MiniExp,0,0,0,0,0,0,2514,0,0,0,0,0,0,0,228,8,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0
S20_3702,MiniExp,0,0,0,0,0,0,383,0,0,0,0,0,0,0,225,18,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,15,0
S20_3703,MiniExp,0,0,0,0,0,0,1510,0,0,0,0,0,0,0,0,96,787,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,55,0,0
S20_3704,MiniExp,0,0,0,0,0,0,4659,0,0,0,0,0,31,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,16,0,0,0,0,0,74,0,0
S20_3705,MiniExp,0,0,0,0,0,0,851,0,0,0,0,0,10,0,498,32,15,0,0,0,2467,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,135,0,0
S20_3706,MiniExp,0,0,0,0,0,0,695,0,0,0,0,0,0,0,7,101,1241,0,0,0,29,0,0,0,0,481,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,216,10,0
S20_3707,MiniExp,0,0,5,0,0,0,693,0,0,0,0,0,19,0,442,8,0,0,0,0,0,57,0,0,0,223,0,0,0,0,0,0,0,999,0,0,0,0,0,0,51,0,0,0,186,15,0
S20_3708,MiniExp,0,0,0,0,0,0,363,0,0,0,0,0,13,0,255,69,0,0,0,0,275,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,113,0,0
S20_3709,MiniExp,0,0,0,0,0,0,3412,0,0,0,0,0,0,0,309,35,0,0,0,0,0,0,0,0,57,0,0,0,0,0,39,0,0,0,0,0,0,0,60,0,111,0,0,0,62,0,0
S20_3710,MiniExp,0,0,0,0,0,0,560,0,0,0,0,0,0,39,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,131,0
S20_3711,MiniExp,0,0,0,0,0,0,3480,0,0,0,0,0,24,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,72,21,0
S20_3712,MiniExp,651,0,0,0,0,0,4283,0,0,62,99,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,238,0,20,0,0,0,0,0,0,0,0,0,0,0,40,0,0
S20_3713,MiniExp,0,0,0,0,0,0,2985,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,24,0,0,0,0,0,137,13,0
S20_3714,MiniExp,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,9,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1279,0,0,0,101,16,0
S20_3715,MiniExp,0,0,0,0,0,0,839,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,16,0,0,0,0,0,0,4308,0,0,0,0,0,0
S20_3716,MiniExp,0,0,0,0,0,0,1771,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,370,0,0
S20_3717,MiniExp,0,0,0,0,0,0,2595,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,117,0,0,0,4,0,0,0,0,0,0,0,8,0,0,424,0,0,0,221,21,0
S20_3718,MiniExp,0,0,0,0,0,0,1935,0,0,0,0,0,0,0,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0,71,0,0
